1,group,A,Chile,Ecuador,"2015-06-11 20:30:00"
1,group,A,México,Bolivia,"2015-06-12 20:30:00"
1,group,B,Uruguay,Jamaica,"2015-06-13 16:00:00"
1,group,B,Argentina,Paraguay,"2015-06-13 18:30:00"
1,group,C,Colombia,Venezuela,"2015-06-14 16:00:00"
1,group,C,Brasil,Perú,"2015-06-14 18:30:00"
1,group,A,Ecuador,Bolivia,"2015-06-15 18:00:00"
1,group,A,Chile,México,"2015-06-15 20:30:00"
1,group,B,Paraguay,Jamaica,"2015-06-16 20:30:00"
1,group,B,Argentina,Uruguay,"2015-06-16 18:00:00"
1,group,C,Brasil,Colombia,"2015-06-17 21:00:00"
1,group,C,Perú,Venezuela,"2015-06-18 20:30:00"
1,group,A,México,Ecuador,"2015-06-19 18:00:00"
1,group,A,Chile,Bolivia,"2015-06-19 20:30:00"
1,group,B,Uruguay,Paraguay,"2015-06-20 16:00:00"
1,group,B,Argentina,Jamaica,"2015-06-20 18:30:00"
1,group,C,Colombia,Perú,"2015-06-21 16:30:00"
1,group,C,Brasil,Venezuela,"2015-06-21 18:30:00"
2,quarter,1,,,"2015-06-24 20:30:00"
2,quarter,2,,,"2015-06-25 20:30:00"
2,quarter,3,,,"2015-06-26 20:30:00"
2,quarter,4,,,"2015-06-27 18:30:00"
3,semi,1,,,"2015-06-29 20:30:00"
3,semi,2,,,"2015-06-30 20:30:00"
1,playoff,1,,,"2015-07-03 20:30:00"
1,final,1,,,"2015-07-04 17:00:00"
